,neg,neu,pos,compound,vader,txtblob,retweets,favorites
0,0.0,1.0,0.0,0.0,0,0.0,0,0
1,0.0,1.0,0.0,0.0,0,0.0,0,9
2,0.0,1.0,0.0,0.0,0,0.1,0,0
3,0.0,0.586,0.414,0.802,1,0.5,0,0
4,0.0,1.0,0.0,0.0,0,0.0,0,0
5,0.0,1.0,0.0,0.0,0,0.0,0,2
6,0.0,1.0,0.0,0.0,0,0.0,0,0
7,0.0,1.0,0.0,0.0,0,0.0,0,0
8,0.0,1.0,0.0,0.0,0,0.1,0,3
9,0.119,0.881,0.0,-0.3182,-1,0.0,3,6
10,0.0,1.0,0.0,0.0,0,0.25,0,0
11,0.0,1.0,0.0,0.0,0,0.1,1,0
12,0.0,1.0,0.0,0.0,0,0.0,1,3
13,0.0,1.0,0.0,0.0,0,0.5,0,0
14,0.0,1.0,0.0,0.0,0,0.0,0,0
15,0.0,1.0,0.0,0.0,0,0.0,0,0
16,0.0,1.0,0.0,0.0,0,0.05,1,9
17,0.15,0.85,0.0,-0.3182,-1,0.0,0,0
18,0.0,1.0,0.0,0.0,0,0.0,0,0
19,0.0,1.0,0.0,0.0,0,0.0,0,0
20,0.0,1.0,0.0,0.0,0,0.0,0,0
21,0.0,1.0,0.0,0.0,0,0.0,0,0
22,0.0,1.0,0.0,0.0,0,0.05,0,1
23,0.192,0.659,0.15,-0.1779,-1,0.2,0,0
24,0.0,0.92,0.08,0.2732,1,0.45,0,0
25,0.0,1.0,0.0,0.0,0,0.1,0,0
26,0.0,0.873,0.127,0.4404,1,0.5,0,0
27,0.0,1.0,0.0,0.0,0,0.0,0,2
28,0.0,1.0,0.0,0.0,0,0.0,1,8
29,0.108,0.892,0.0,-0.3182,-1,0.0,0,0
30,0.0,1.0,0.0,0.0,0,0.0,0,0
31,0.0,1.0,0.0,0.0,0,0.0,2,8
32,0.0,1.0,0.0,0.0,0,0.0,0,1
33,0.0,1.0,0.0,0.0,0,0.0,0,0
34,0.0,1.0,0.0,0.0,0,-0.125,0,0
35,0.0,1.0,0.0,0.0,0,0.0,13,25
36,0.108,0.892,0.0,-0.3182,-1,0.0,0,0
37,0.0,1.0,0.0,0.0,0,0.5,1,3
38,0.0,1.0,0.0,0.0,0,0.1,0,1
39,0.0,0.926,0.074,0.3595,1,0.026704545454545446,0,0
40,0.0,1.0,0.0,0.0,0,0.0,0,0
41,0.0,1.0,0.0,0.0,0,0.0,1,19
42,0.0,1.0,0.0,0.0,0,0.0,0,0
43,0.0,1.0,0.0,0.0,0,0.0,0,0
44,0.0,1.0,0.0,0.0,0,0.0,0,4
45,0.0,1.0,0.0,0.0,0,0.1,0,0
46,0.0,0.53,0.47,0.7351,1,0.45,0,0
47,0.0,1.0,0.0,0.0,0,0.0,0,0
48,0.0,0.728,0.272,0.4561,1,0.4375,0,0
49,0.0,1.0,0.0,0.0,0,0.0,0,0
50,0.0,1.0,0.0,0.0,0,0.1,0,0
51,0.0,1.0,0.0,0.0,0,0.1,0,0
52,0.0,1.0,0.0,0.0,0,0.0,0,0
53,0.0,1.0,0.0,0.0,0,0.1,2,2
54,0.0,1.0,0.0,0.0,0,0.0,0,0
55,0.0,1.0,0.0,0.0,0,0.0,0,0
56,0.0,1.0,0.0,0.0,0,0.0,0,0
57,0.108,0.892,0.0,-0.3182,-1,0.0,0,0
58,0.0,1.0,0.0,0.0,0,0.0,1,1
59,0.0,1.0,0.0,0.0,0,0.1,0,1
60,0.0,1.0,0.0,0.0,0,0.0,0,0
61,0.0,1.0,0.0,0.0,0,0.0,0,0
62,0.0,1.0,0.0,0.0,0,0.0,0,0
63,0.0,1.0,0.0,0.0,0,0.1,0,2
64,0.0,1.0,0.0,0.0,0,0.1,1,3
65,0.0,1.0,0.0,0.0,0,0.0,0,0
66,0.0,1.0,0.0,0.0,0,0.0,0,0
67,0.0,1.0,0.0,0.0,0,0.0,0,0
68,0.0,1.0,0.0,0.0,0,0.0,0,0
69,0.0,0.913,0.087,0.2481,1,0.0,0,0
70,0.0,1.0,0.0,0.0,0,0.0,0,0
71,0.0,1.0,0.0,0.0,0,0.0,0,1
72,0.0,1.0,0.0,0.0,0,0.0,0,0
73,0.0,0.921,0.079,0.3595,1,0.026704545454545446,1,5
74,0.0,0.828,0.172,0.68,1,0.0,0,0
75,0.0,1.0,0.0,0.0,0,0.1,0,0
76,0.0,1.0,0.0,0.0,0,0.1,2,9
77,0.0,1.0,0.0,0.0,0,0.1,0,0
78,0.0,1.0,0.0,0.0,0,0.0,0,0
79,0.0,1.0,0.0,0.0,0,0.1,0,0
80,0.0,1.0,0.0,0.0,0,0.0,0,0
81,0.0,1.0,0.0,0.0,0,0.1,0,0
82,0.0,1.0,0.0,0.0,0,0.0,0,0
83,0.143,0.857,0.0,-0.4588,-1,0.005681818181818177,0,1
84,0.0,1.0,0.0,0.0,0,0.0,0,0
85,0.0,1.0,0.0,0.0,0,0.1,0,0
86,0.0,1.0,0.0,0.0,0,0.0,0,0
87,0.0,1.0,0.0,0.0,0,0.1,0,1
88,0.0,0.856,0.144,0.5719,1,0.15,0,0
89,0.0,1.0,0.0,0.0,0,0.0,0,1
