,neg,neu,pos,compound,vader,txtblob,retweets,favorites
0,0.0,1.0,0.0,0.0,0,0.0625,0,0
1,0.089,0.813,0.098,0.0701,1,0.26111111111111107,0,1
2,0.0,1.0,0.0,0.0,0,0.0,0,0
3,0.0,1.0,0.0,0.0,0,-0.15555555555555559,0,3
4,0.0,1.0,0.0,0.0,0,0.0,0,0
5,0.282,0.718,0.0,-0.8418,-1,-0.36666666666666664,0,0
6,0.0,1.0,0.0,0.0,0,0.0,0,0
7,0.0,1.0,0.0,0.0,0,0.05,0,1
8,0.0,1.0,0.0,0.0,0,0.0625,0,0
9,0.0,1.0,0.0,0.0,0,0.0,0,0
10,0.0,1.0,0.0,0.0,0,0.0625,0,0
11,0.0,1.0,0.0,0.0,0,0.0625,0,0
12,0.0,0.805,0.195,0.5574,1,0.21818181818181817,0,0
13,0.0,0.9,0.1,0.2732,1,0.0,0,0
14,0.0,0.9,0.1,0.2732,1,0.0,0,0
15,0.0,0.767,0.233,0.5632,1,0.25,0,0
16,0.0,0.913,0.087,0.2481,1,0.0,0,0
17,0.0,1.0,0.0,0.0,0,0.0,0,0
18,0.153,0.847,0.0,-0.5574,-1,0.0,0,0
19,0.0,1.0,0.0,0.0,0,0.17045454545454544,0,0
20,0.0,1.0,0.0,0.0,0,0.05,0,0
21,0.0,1.0,0.0,0.0,0,0.0625,0,0
22,0.0,0.844,0.156,0.5719,1,0.0,0,0
23,0.0,1.0,0.0,0.0,0,0.0625,0,0
24,0.0,1.0,0.0,0.0,0,0.0,0,1
25,0.0,0.844,0.156,0.5719,1,0.0,0,0
26,0.0,0.884,0.116,0.3612,1,0.13636363636363635,0,2
27,0.0,1.0,0.0,0.0,0,0.0,0,0
28,0.0,1.0,0.0,0.0,0,0.05,0,1
29,0.0,0.888,0.112,0.4404,1,0.0,0,0
30,0.0,0.698,0.302,0.6369,1,0.03333333333333333,0,2
31,0.0,1.0,0.0,0.0,0,0.0625,0,0
32,0.0,0.844,0.156,0.5719,1,0.0,0,0
33,0.0,0.875,0.125,0.5106,1,0.21666666666666665,1,1
34,0.238,0.762,0.0,-0.6486,-1,0.0,0,0
35,0.0,1.0,0.0,0.0,0,0.0,0,0
36,0.0,1.0,0.0,0.0,0,0.0,0,0
37,0.0,1.0,0.0,0.0,0,0.0,0,0
38,0.0,1.0,0.0,0.0,0,0.0,0,0
39,0.0,1.0,0.0,0.0,0,0.0625,0,0
40,0.0,0.844,0.156,0.5719,1,0.0,0,0
41,0.0,1.0,0.0,0.0,0,0.0625,0,0
42,0.0,1.0,0.0,0.0,0,0.0625,0,0
43,0.0,1.0,0.0,0.0,0,0.0,1,3
44,0.0,1.0,0.0,0.0,0,0.05,0,0
45,0.0,0.844,0.156,0.5719,1,0.0,0,0
46,0.153,0.847,0.0,-0.5574,-1,0.0,0,0
47,0.0,0.844,0.156,0.5719,1,0.0,0,0
48,0.0,1.0,0.0,0.0,0,0.0,0,0
49,0.167,0.833,0.0,-0.5574,-1,0.0,10,20
50,0.094,0.743,0.163,0.34,1,0.4333333333333333,0,0
51,0.0,0.844,0.156,0.5719,1,0.0,0,0
52,0.075,0.83,0.095,0.128,1,0.0,0,0
53,0.149,0.851,0.0,-0.1027,-1,0.0,0,1
54,0.0,0.844,0.156,0.5719,1,0.0,0,0
55,0.0,1.0,0.0,0.0,0,0.0,1,2
56,0.0,1.0,0.0,0.0,0,0.1,0,0
57,0.0,1.0,0.0,0.0,0,0.0625,0,0
58,0.0,1.0,0.0,0.0,0,0.0,0,0
59,0.075,0.83,0.095,0.128,1,0.0,0,0
60,0.0,0.844,0.156,0.5719,1,0.0,0,0
61,0.0,0.844,0.156,0.5719,1,0.0,0,0
62,0.0,0.829,0.171,0.5719,1,0.0,27,36
63,0.0,1.0,0.0,0.0,0,0.05,0,0
64,0.0,1.0,0.0,0.0,0,0.0,0,0
65,0.153,0.847,0.0,-0.5574,-1,0.0,0,0
66,0.0,0.844,0.156,0.5719,1,0.0,0,0
67,0.0,1.0,0.0,0.0,0,0.0,0,0
68,0.0,1.0,0.0,0.0,0,0.0,11,7
69,0.0,1.0,0.0,0.0,0,0.0,0,0
70,0.0,0.844,0.156,0.5719,1,0.0,0,0
71,0.0,1.0,0.0,0.0,0,0.0625,0,0
72,0.0,1.0,0.0,0.0,0,0.0625,0,0
73,0.0,0.896,0.104,0.2732,1,0.0,0,0
74,0.0,1.0,0.0,0.0,0,0.0,0,0
75,0.119,0.881,0.0,-0.3182,-1,0.0,3,6
76,0.153,0.847,0.0,-0.5574,-1,0.0,0,0
77,0.0,0.844,0.156,0.5719,1,0.0,0,0
78,0.0,1.0,0.0,0.0,0,0.0625,0,0
79,0.0,1.0,0.0,0.0,0,0.0625,0,0
80,0.0,0.896,0.104,0.2732,1,0.0,3,3
81,0.0,0.887,0.113,0.5106,1,0.21666666666666665,0,0
82,0.0,1.0,0.0,0.0,0,0.0,0,0
83,0.205,0.795,0.0,-0.6289,-1,0.5,0,0
84,0.0,0.844,0.156,0.5719,1,0.0,0,0
85,0.0,1.0,0.0,0.0,0,0.0,0,1
86,0.0,1.0,0.0,0.0,0,0.17045454545454544,0,0
87,0.0,0.844,0.156,0.5719,1,0.0,0,0
88,0.153,0.847,0.0,-0.5574,-1,0.0,0,0
89,0.0,0.869,0.131,0.5367,1,0.06666666666666667,0,0
90,0.0,1.0,0.0,0.0,0,0.0,0,1
91,0.0,0.844,0.156,0.5719,1,0.0,0,0
