,neg,neu,pos,compound,vader,txtblob,retweets,favorites
0,0.0,0.913,0.087,0.296,1,0.0,0,0
1,0.0,1.0,0.0,0.0,0,0.0,0,0
2,0.0,0.857,0.143,0.5893,1,0.75,0,0
3,0.0,0.913,0.087,0.296,1,0.0,0,0
4,0.0,1.0,0.0,0.0,0,0.0,1,0
5,0.0,0.905,0.095,0.296,1,0.0,2,4
6,0.0,0.892,0.108,0.3182,1,-0.1,2,3
7,0.0,0.917,0.083,0.2023,1,0.125,0,0
8,0.0,1.0,0.0,0.0,0,0.0,0,0
9,0.0,0.877,0.123,0.2732,1,0.0,0,0
10,0.126,0.779,0.095,-0.1779,-1,0.0,0,0
11,0.0,1.0,0.0,0.0,0,0.25,0,0
12,0.0,1.0,0.0,0.0,0,0.0,0,0
13,0.0,0.63,0.37,0.5719,1,0.0,0,0
14,0.095,0.905,0.0,-0.2732,-1,0.025000000000000005,0,1
15,0.0,1.0,0.0,0.0,0,0.3,0,0
16,0.0,0.857,0.143,0.5893,1,0.75,0,0
17,0.0,1.0,0.0,0.0,0,0.11666666666666665,0,0
18,0.0,1.0,0.0,0.0,0,0.0,0,0
19,0.0,1.0,0.0,0.0,0,0.25,0,3
20,0.0,1.0,0.0,0.0,0,0.0,0,0
21,0.0,0.913,0.087,0.296,1,0.0,0,0
22,0.116,0.797,0.088,-0.1779,-1,0.0,0,0
23,0.0,1.0,0.0,0.0,0,0.0,0,0
24,0.0,0.846,0.154,0.5893,1,0.75,5,16
25,0.0,1.0,0.0,0.0,0,0.0,2,21
26,0.0,1.0,0.0,0.0,0,0.0,0,0
27,0.0,0.913,0.087,0.296,1,0.0,0,0
28,0.0,0.743,0.257,0.6369,1,0.5,0,0
29,0.0,1.0,0.0,0.0,0,0.0,0,0
30,0.0,1.0,0.0,0.0,0,0.0,0,0
31,0.0,1.0,0.0,0.0,0,0.0,0,0
32,0.0,0.873,0.127,0.4404,1,0.19999999999999998,0,0
33,0.0,1.0,0.0,0.0,0,0.0,0,1
34,0.0,0.913,0.087,0.296,1,0.0,0,0
35,0.0,1.0,0.0,0.0,0,0.0,0,0
36,0.116,0.884,0.0,-0.2732,-1,0.4,1,1
37,0.126,0.779,0.095,-0.1779,-1,0.0,0,1
38,0.0,1.0,0.0,0.0,0,0.0,0,0
39,0.0,1.0,0.0,0.0,0,0.0,0,1
40,0.0,1.0,0.0,0.0,0,0.0,0,0
41,0.0,0.909,0.091,0.296,1,0.0,0,0
42,0.0,0.714,0.286,0.6369,1,0.5,1,8
43,0.0,1.0,0.0,0.0,0,0.0,0,0
44,0.0,0.859,0.141,0.3182,1,-0.1,1,0
45,0.0,1.0,0.0,0.0,0,0.0,0,0
46,0.0,1.0,0.0,0.0,0,0.0,1,0
47,0.0,0.913,0.087,0.296,1,0.0,0,0
48,0.0,1.0,0.0,0.0,0,0.1787878787878788,0,0
49,0.0,1.0,0.0,0.0,0,0.0,1,2
50,0.0,1.0,0.0,0.0,0,0.0,0,0
51,0.0,1.0,0.0,0.0,0,0.0,1,1
52,0.0,0.896,0.104,0.296,1,0.0,0,0
53,0.0,1.0,0.0,0.0,0,0.0,0,0
54,0.0,0.759,0.241,0.6597,1,0.0,0,1
55,0.0,1.0,0.0,0.0,0,0.0,0,0
56,0.0,0.617,0.383,0.6369,1,0.0,0,0
57,0.0,0.901,0.099,0.296,1,0.0,1,1
58,0.0,0.905,0.095,0.323,1,-0.20000000000000004,0,0
59,0.0,0.913,0.087,0.296,1,0.0,0,0
60,0.0,1.0,0.0,0.0,0,0.0,0,0
61,0.0,0.857,0.143,0.5893,1,0.75,0,0
62,0.0,1.0,0.0,0.0,0,0.0,0,0
63,0.0,1.0,0.0,0.0,0,0.3,0,0
64,0.0,0.829,0.171,0.4767,1,0.0,0,0
65,0.0,1.0,0.0,0.0,0,0.0,0,0
66,0.0,0.701,0.299,0.5719,1,0.0,0,0
67,0.0,1.0,0.0,0.0,0,0.0,0,0
68,0.0,0.874,0.126,0.3182,1,0.2,0,0
69,0.0,0.879,0.121,0.296,1,0.0,0,0
70,0.0,0.86,0.14,0.4767,1,-0.2,0,0
71,0.0,0.901,0.099,0.3182,1,-0.1,0,0
72,0.0,1.0,0.0,0.0,0,0.0,0,2
73,0.0,1.0,0.0,0.0,0,0.0,0,0
74,0.0,0.879,0.121,0.296,1,0.0,0,0
75,0.0,0.732,0.268,0.5267,1,-0.1,0,0
76,0.0,1.0,0.0,0.0,0,0.0,0,0
77,0.0,0.598,0.402,0.5719,1,0.0,0,0
78,0.0,1.0,0.0,0.0,0,0.0,1,3
79,0.0,0.882,0.118,0.4215,1,0.0,0,0
80,0.0,1.0,0.0,0.0,0,0.3,0,0
81,0.0,0.891,0.109,0.296,1,0.0,0,0
82,0.0,0.882,0.118,0.4939,1,0.1375,0,0
83,0.0,1.0,0.0,0.0,0,0.0,0,0
84,0.0,0.913,0.087,0.296,1,0.0,0,0
85,0.0,0.882,0.118,0.4939,1,0.1375,0,0
86,0.126,0.779,0.095,-0.1779,-1,0.0,0,0
87,0.0,1.0,0.0,0.0,0,-0.1,0,2
88,0.0,0.896,0.104,0.296,1,0.0,17,50
89,0.0,0.868,0.132,0.4939,1,0.1375,3,22
90,0.0,1.0,0.0,0.0,0,0.0,0,0
91,0.0,0.598,0.402,0.5719,1,0.0,0,0
92,0.0,1.0,0.0,0.0,0,0.0,0,0
93,0.0,1.0,0.0,0.0,0,0.0,0,0
94,0.0,1.0,0.0,0.0,0,0.0,0,0
95,0.0,0.804,0.196,0.296,1,0.0,0,0
96,0.0,1.0,0.0,0.0,0,0.25,0,3
97,0.0,1.0,0.0,0.0,0,0.0,1,3
98,0.0,1.0,0.0,0.0,0,0.0,0,0
99,0.0,0.891,0.109,0.296,1,0.0,0,0
100,0.0,1.0,0.0,0.0,0,0.0,0,0
101,0.0,0.887,0.113,0.3182,1,0.0,0,5
102,0.0,0.811,0.189,0.4939,1,0.0,0,0
103,0.0,0.873,0.127,0.4404,1,0.19999999999999998,0,0
104,0.0,1.0,0.0,0.0,0,0.0,1,3
105,0.0,1.0,0.0,0.0,0,0.0,0,0
106,0.0,1.0,0.0,0.0,0,0.3,0,0
107,0.0,1.0,0.0,0.0,0,0.11666666666666665,0,0
108,0.0,1.0,0.0,0.0,0,0.0,2,3
109,0.0,1.0,0.0,0.0,0,0.0,0,3
110,0.0,1.0,0.0,0.0,0,-0.15555555555555559,0,0
111,0.0,1.0,0.0,0.0,0,0.0,1,0
112,0.0,0.872,0.128,0.296,1,0.0,0,0
113,0.0,1.0,0.0,0.0,0,0.0,0,4
114,0.0,1.0,0.0,0.0,0,0.3,0,0
115,0.0,0.732,0.268,0.5267,1,-0.1,0,0
116,0.0,1.0,0.0,0.0,0,0.0,0,0
117,0.0,1.0,0.0,0.0,0,0.3,0,0
118,0.0,1.0,0.0,0.0,0,0.0,1,3
119,0.0,0.913,0.087,0.296,1,0.0,0,0
120,0.0,0.784,0.216,0.296,1,0.0,0,0
121,0.0,0.891,0.109,0.296,1,0.0,0,0
122,0.0,0.913,0.087,0.296,1,0.0,0,0
123,0.0,1.0,0.0,0.0,0,0.0,0,0
124,0.0,1.0,0.0,0.0,0,0.3,0,0
125,0.0,1.0,0.0,0.0,0,0.0,0,1
126,0.0,1.0,0.0,0.0,0,-0.05,0,1
127,0.0,1.0,0.0,0.0,0,0.3,0,0
128,0.0,0.807,0.193,0.4767,1,0.0,1,0
129,0.0,0.855,0.145,0.296,1,0.0,1,2
130,0.0,1.0,0.0,0.0,0,0.0,0,0
131,0.0,0.879,0.121,0.296,1,0.0,1,0
132,0.0,1.0,0.0,0.0,0,0.0,0,1
133,0.0,0.819,0.181,0.4767,1,0.0,1,10
134,0.0,1.0,0.0,0.0,0,0.0,3,4
135,0.0,1.0,0.0,0.0,0,0.11666666666666665,7,3
